Date,Close,daily_articles
2021-02-26,359.2264709472656,1
2021-03-01,367.9342956542969,2
2021-03-03,360.2276306152344,4
2021-03-04,355.7699584960937,3
2021-03-08,360.5109558105469,2
2021-03-09,365.6581115722656,2
2021-03-10,367.9342956542969,1
2021-03-12,372.1654052734375,1
2021-03-15,374.3847351074219,1
2021-03-16,373.9124755859375,2
2021-03-17,375.1875305175781,5
2021-03-18,369.7287292480469,1
2021-03-19,369.0446472167969,1
2021-03-23,369.06353759765625,1
2021-03-24,367.1873779296875,1
2021-03-25,369.2530517578125,1
2021-03-26,375.20355224609375,2
2021-03-29,375.0140380859375,1
2021-03-30,374.01904296875,1
2021-03-31,375.5351867675781,1
2021-04-01,379.5905456542969,1
2021-04-05,385.0389099121094,1
2021-04-06,384.81146240234375,2
2021-04-07,385.25689697265625,1
2021-04-08,387.0856018066406,5
2021-04-09,389.8998107910156,3
2021-04-12,390.0418701171875,1
2021-04-14,389.8619384765625,1
2021-04-15,394.0499267578125,1
2021-04-16,395.3669738769531,1
2021-04-27,395.6134033203125,2
2021-04-28,395.4996643066406,3
2021-04-29,398.0201110839844,1
2021-04-30,395.4049072265625,1
2021-05-03,396.25775146484375,2
2021-05-05,393.9363098144531,1
2021-05-06,397.0820617675781,1
2021-05-11,392.4771118164063,2
2021-05-12,384.1387634277344,1
2021-05-13,388.7532348632813,1
2021-05-14,394.7226257324219,2
2021-05-17,393.7182922363281,1
2021-05-18,390.3261413574219,1
2021-05-19,389.3027648925781,1
2021-05-21,393.168701171875,1
2021-05-24,397.1768493652344,1
2021-05-25,396.295654296875,3
2021-05-26,397.0820617675781,1
2021-05-27,397.2904968261719,1
2021-06-04,400.42681884765625,1
2021-06-11,402.047119140625,2
2021-06-15,402.2082214355469,1
2021-06-16,399.9624938964844,1
2021-06-17,399.829833984375,1
2021-06-21,400.0827026367188,1
2021-06-22,402.2216491699219,1
2021-06-29,406.5851440429688,1
2021-07-01,409.1803588867188,6
2021-07-02,412.3079223632813,1
2021-07-06,411.556884765625,2
2021-07-07,413.0113220214844,1
2021-07-08,409.6461181640625,1
2021-07-09,414.01904296875,1
2021-07-13,414.0855407714844,2
2021-07-14,414.7034606933594,2
2021-07-15,413.28704833984375,2
2021-07-16,410.0453796386719,2
2021-07-19,403.9898986816406,1
2021-07-20,409.7791748046875,1
2021-07-21,413.0968627929688,2
2021-07-23,418.22076416015625,3
2021-07-26,419.24749755859375,1
2021-07-28,417.1656494140625,1
2021-07-29,418.895751953125,1
2021-07-30,416.8614807128906,2
2021-08-02,415.9867858886719,2
2021-08-03,419.3711242675781,3
2021-08-04,417.3081970214844,1
2021-08-10,420.8255004882813,2
2021-08-13,423.9056091308594,1
2021-08-16,424.9037780761719,2
2021-08-17,422.118408203125,1
2021-08-18,417.498291015625,2
2021-08-19,418.1446838378906,1
2021-08-23,425.1794128417969,1
2021-08-24,425.85443115234375,1
2021-08-25,426.74798583984375,2
2021-08-26,424.2288208007813,1
2021-08-27,428.0218505859375,2
2021-08-30,429.9041137695313,1
2021-09-01,429.4953002929688,2
2021-09-02,430.8166198730469,1
2021-09-03,430.7120971679688,1
2021-09-07,429.1721496582031,2
2021-09-08,428.6492309570313,2
2021-09-09,426.8145446777344,2
2021-09-10,423.44927978515625,1
2021-09-13,424.5330505371094,3
2021-09-14,422.2420349121094,1
2021-09-15,425.768798828125,3
2021-09-17,420.95306396484375,1
2021-09-20,413.9339294433594,2
2021-09-22,417.5770568847656,1
2021-09-24,423.34674072265625,1
2021-09-28,413.6288146972656,1
2021-09-29,414.3249816894531,4
2021-09-30,409.2610168457031,2
2021-10-01,414.1246643066406,2
2021-10-04,408.78411865234375,1
2021-10-05,413.0375061035156,2
2021-10-06,414.7541198730469,3
2021-10-07,418.3399658203125,3
2021-10-08,417.5770568847656,2
2021-10-11,414.5538635253906,1
2021-10-12,413.5334167480469,2
2021-10-13,415.0211791992188,2
2021-10-14,422.0020751953125,3
2021-10-15,425.2159729003906,1
2021-10-18,426.4747619628906,3
2021-10-19,429.7650146484375,5
2021-10-20,431.45306396484375,3
2021-10-22,432.1300659179688,1
2021-10-25,434.4475402832031,4
2021-10-26,434.8385314941406,2
2021-10-27,432.9121398925781,4
2021-10-28,437.0892639160156,4
2021-11-01,438.7295837402344,3
2021-11-02,440.5033874511719,2
2021-11-03,443.19281005859375,4
2021-11-04,445.28131103515625,1
2021-11-08,447.2077941894531,1
2021-11-10,442.1437377929688,1
2021-11-11,442.2867126464844,1
2021-11-12,445.6246337890625,2
